rider;1970;1972;1974;1976;1977;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Dithurbide Alain;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sergeant Marc;null;null;null;null;null;null;null;null;Europ Decor - Boule d'Or;Lotto;Lotto - Emerxil - Merckx;Lotto - Merckx;Hitachi - Bosal - BCE;Hitachi - VTM;Panasonic - Sportlife;Panasonic - Sportlife;Panasonic - Sportlife;Novemail - Histor;Novemail - Histor;Lotto - Isoglass;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ferreira Paulo José dos Santos;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Marta Carlos;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Agudelo José Antonio;null;null;null;null;null;null;null;null;Varta - Colombia;Café de Colombia - Varta - Mavic;Teka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Charreard Michel;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mas Gilles;null;null;null;null;null;null;null;null;Skil - Reydel - Sem;Skil - Sem;RMO;RMO - Meral - Mavic;RMO - Liberia - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Acevedo Rafaël Antonio;null;null;null;null;null;null;null;null;Varta - Colombia;Café de Colombia - Varta - Mavic;Café de Colombia - Varta;Café de Colombia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Simon Régis;null;null;null;null;null;null;null;null;La Redoute;La Redoute;RMO;null;RMO - Liberia - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ramirez Martin Alonso;null;null;null;null;null;null;null;null;Système U;null;Fagor;Café de Colombia;Café de Colombia;Café de Colombia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bagot Jean-claude;null;null;null;null;null;null;null;null;Skil - Reydel - Sem;Fagor;Fagor;Fagor;Fagor - MBK;null;RMO - Mavic - Liberia;Castorama;Castorama;null;Festina - Lotus;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lang Czesław;null;null;null;null;null;null;null;null;Carrera - Inoxpran;Carrera - Inoxpran;null;Del Tongo - Colnago;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Loayza Herman;null;null;null;null;null;null;null;null;Varta - Colombia;Café de Colombia - Varta - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ferreira Benedito;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Visentini Roberto;null;null;null;null;null;null;null;null;Carrera - Inoxpran;Carrera - Inoxpran;null;null;Carrera Jeans - Vagabond;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Simon Jérôme;null;null;null;null;null;null;null;null;La Redoute;La Redoute;null;Z - Peugeot;Z - Peugeot;Z - Peugeot;Z - Tomasso;null;Z - Lemond;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rüttimann Niki;null;null;null;null;null;null;null;null;La Vie Claire - Terraillon;La Vie Claire;La Vie Claire;Toshiba - La Vie Claire;Weinmann - La Suisse;Helvetia - La Suisse;Helvetia - La Suisse;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Xavier Jose;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Muñoz Pedro;null;null;null;null;null;null;null;null;Teka;Fagor;Fagor;Fagor;Fagor - MBK;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Corredor Israel;null;null;null;null;null;null;null;null;Varta - Colombia;null;Postobon;null;Café de Colombia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Chagas Marco;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Correia Eduardo;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zimmermann Urs;null;null;null;null;null;null;null;null;Cilo - Aufina;null;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;null;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rodriguez Francisco;null;null;null;null;null;null;null;null;Splendor - Mondial Moquette - Marc;Zor - Gemeaz;Zor - BH;BH;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bondue Alain;null;null;null;null;null;null;null;null;La Redoute;La Redoute;Système U;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zeferino Manuel;null;null;null;null;null;null;null;null;Sporting - Raposeira;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Yates Sean;null;null;null;null;null;null;null;null;Peugeot - Shell - Michelin;Peugeot - Shell - Michelin;Peugeot - Shell;Fagor;Fagor - MBK;7 Eleven - American Airlines;7 Eleven - Hoonved;Motorola;Motorola;Motorola;Motorola;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Madiot Yvon;null;null;null;null;null;null;null;null;Renault - Elf;Renault - Elf;Système U;Système U;Toshiba;Toshiba;Toshiba;R.M.O.;Team Telekom;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cardenas Manuel;null;null;null;null;null;null;null;null;Varta - Colombia;null;Teka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Somers Marc;null;null;null;null;null;null;null;null;Europ Decor - Boule d'Or;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Herrera Luis Alberto;null;null;null;null;null;null;null;null;Varta - Colombia;Café de Colombia - Varta - Mavic;Café de Colombia - Varta;Café de Colombia;Café de Colombia;Café de Colombia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Govaerts Luc;null;null;null;null;null;null;null;null;Europ Decor - Boule d'Or;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wilches Pablo Emilio;null;null;null;null;null;null;null;null;Splendor - Mondial Moquette - Marc;Café de Colombia - Varta - Mavic;null;Manzana Postobón;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pedersen Jørgen Vagn;null;null;null;null;null;null;null;null;null;Carrera - Inoxpran;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;BH;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mottet Charly;null;null;null;null;null;null;null;null;null;Renault - Elf;Système U;Système U;Système U;RMO - Mavic - Liberia;RMO - Mavic - Liberia;R.M.O.;R.M.O.;Novemail - Histor;Novemail - Histor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lavainne Christophe;null;null;null;null;null;null;null;null;null;Renault - Elf;Système U;Système U;Système U;Super U;Castorama - Raleigh;Castorama;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lauraire Philippe;null;null;null;null;null;null;null;null;null;Fagor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gambirasio Patrizio;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dernies Michel;null;null;null;null;null;null;null;null;null;Lotto;Lotto - Emerxil - Merckx;Lotto - Merckx;null;Domex - Weinmann - Eddy Merckx;Weinmann - SMM - Ulster;Weinmann - Eddy Merckx;Motorola;Motorola;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bauer Steve;null;null;null;null;null;null;null;null;null;La Vie Claire;La Vie Claire;Toshiba - La Vie Claire;Weinmann - La Suisse;Helvetia - La Suisse;7 Eleven - Hoonved;Motorola;Motorola;Motorola;Motorola;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lieckens Jozef;null;null;null;null;null;null;null;null;null;Lotto;Lotto - Emerxil - Merckx;Lotto - Merckx;null;Hitachi - VTM;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Poissonnier Philippe;null;null;null;null;null;null;null;null;null;Skil - Sem;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ruiz Pello;null;null;null;null;null;null;null;null;null;Seat - Orbea;Seat - Orbea;Caja Rural - Orbea;null;null;O.N.C.E. - Look - Mavic;CLAS - Cajastur;Gatorade - Chateau d'Ax;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Chozas Eduardo;null;null;null;null;null;null;null;null;null;Reynolds;Teka;Teka;Kelme;null;O.N.C.E. - Look - Mavic;O.N.C.E. - Look - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Earley Martin;null;null;null;null;null;null;null;null;null;Fagor;Fagor;Fagor;KAS - Canal 10 - Mavic;PDM;PDM - Ultima - Concorde;PDM - Ultima - Concorde;PDM - Ultima - Concorde;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
van Vliet Teun;null;null;null;null;null;null;null;null;null;Verandalux - Dries - Nissan;null;Panasonic - Isostar;Panasonic - Isostar;Panasonic - Isostar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pino Álvaro;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;Zor - BH;null;BH;BH;Seur;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Murga Manuel Imanol;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Forest Robert;null;null;null;null;null;null;null;null;null;Peugeot - Shell - Michelin;Peugeot - Shell;Fagor;null;Fagor - MBK;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shapiro Doug;null;null;null;null;null;null;null;null;null;Kwantum - Decosol;7-Eleven;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bogaert Jan;null;null;null;null;null;null;null;null;null;Verandalux - Dries - Nissan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nijdam Jelle;null;null;null;null;null;null;null;null;null;Kwantum - Decosol;Kwantum Hallen - Decosol;Superconfex - Kwantum - Yoko;Superconfex - Yoko - Opel;Superconfex - Yoko - Opel;Buckler - Colnago - Decca;Buckler - Colnago - Decca;Buckler - Colnago - Decca;Wordperfect - Colnago - Decca;null;TVM;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pavanello Giuliano;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gayant Martial;null;null;null;null;null;null;null;null;null;Renault - Elf;null;Système U;Toshiba;Toshiba;null;Toshiba;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rupérez Faustino;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
De Beule Etienne;null;null;null;null;null;null;null;null;null;Verandalux - Dries - Nissan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Demol Dirk;null;null;null;null;null;null;null;null;null;Verandalux - Dries - Nissan;null;null;ADR - Mini Flat - IOC;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Morjean Stefan;null;null;null;null;null;null;null;null;null;Tönissteiner - TW Rock - BASF - Humo;Hitachi - Marc - Splendor;Hitachi - Marc - Rossin;Hitachi - Bosal - BCE;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Solleveld Gerrit;null;null;null;null;null;null;null;null;null;Kwantum - Decosol;Kwantum Hallen - Decosol;Superconfex - Kwantum - Yoko;Superconfex - Yoko - Opel;Superconfex - Yoko - Opel;Buckler - Colnago - Decca;Buckler - Colnago - Decca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
van Meer Jacques;null;null;null;null;null;null;null;null;null;Skil - Sem;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Patry Rudy;null;null;null;null;null;null;null;null;null;Tönissteiner - TW Rock - BASF - Humo;null;Roland - Skala - Chiori;null;Histor - Sigma - Fina;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gaston Inaki;null;null;null;null;null;null;null;null;null;Reynolds;Kas;Kas - Miko;Kelme;Kelme;null;CLAS - Cajastur;CLAS - Cajastur;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Marie Thierry;null;null;null;null;null;null;null;null;null;Renault - Elf;Système U;Système U;Système U;Super U;Castorama - Raleigh;Castorama;Castorama;Festina - Lotus;Castorama - MaxiSport;Castorama;Agrigel-Lacreause-Fenioux;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wallays Luc;null;null;null;null;null;null;null;null;null;Tönissteiner - TW Rock - BASF - Humo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pelier Joël;null;null;null;null;null;null;null;null;null;Skil - Sem;Kas;null;Système U;BH;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Onnockx Patrick;null;null;null;null;null;null;null;null;null;Lotto;null;null;ADR - Mini Flat - IOC;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Otin Luis-vicente;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pieters Peter;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;null;null;null;TVM;null;null;Tulip Computers - Koga;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Caroli Daniele;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Claveyrolat Thierry;null;null;null;null;null;null;null;null;null;La Redoute;RMO;RMO - Meral - Mavic;RMO - Liberia - Mavic;RMO - Mavic - Liberia;RMO - Mavic - Liberia;R.M.O.;Z - Lemond;GAN - Lemond;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Arango Rogelio;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lemarchand Francois;null;null;null;null;null;null;null;null;null;Fagor;Fagor;Fagor;null;Z - Peugeot;Z - Tomasso;Z-Peugeot;Z - Lemond;GAN - Lemond;null;GAN;GAN;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roux Denis;null;null;null;null;null;null;null;null;null;Renault - Elf;null;Z - Peugeot;Z - Peugeot;Toshiba;Toshiba;Toshiba;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wouters Alois;null;null;null;null;null;null;null;null;null;Tönissteiner - TW Rock - BASF - Humo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bibollet Michel;null;null;null;null;null;null;null;null;null;Fagor;null;null;RMO - Liberia - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gonzalez Eduardo;null;null;null;null;null;null;null;null;null;Reynolds;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lurquin André;null;null;null;null;null;null;null;null;null;Tönissteiner - TW Rock - BASF - Humo;Lotto - Emerxil - Merckx;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fernández Juan;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;Zor - BH;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Van Eynde Wim;null;null;null;null;null;null;null;null;null;Lotto;Lotto - Emerxil - Merckx;Lotto - Merckx;null;null;Lotto - Super Club;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sanchis José Salvador;null;null;null;null;null;null;null;null;null;Seat - Orbea;Seat - Orbea;Caja Rural - Orbea;Caja Rural - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Godimus Yves;null;null;null;null;null;null;null;null;null;Lotto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cassani Davide;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;null;null;Ariostea;Ariostea;Ariostea;Ariostea;GB-MG Maglificio - Bianchi;MG Maglificio - Technogym;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Parra Fabio Enrique;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta - Mavic;Café de Colombia - Varta;Café de Colombia;Kelme;Kelme;Kelme;Amaya Seguros;Amaya Seguros;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ibañez Jeronimo;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Montoya José Reynel;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta - Mavic;Postobon;null;null;null;Postobón - Manzana - Ryalcao;Manzana Postobón;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ibanez Jesus Ignacio;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ronchiato Manrico;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Jaramillo Carlos Mario;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta - Mavic;Postobon;Manzana Postobón;null;null;Postobón - Manzana - Ryalcao;null;Ryalcao-Postobon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bressan Roberto;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fasolo Claudio;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baeyens Jan;null;null;null;null;null;null;null;null;null;Lotto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Festa Elio;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cerri Claudio;null;null;null;null;null;null;null;null;null;Santini - Krups - Conti - Galli;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zuniga Ricardo;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Toelen Patrick;null;null;null;null;null;null;null;null;null;Hitachi - Splendor - Sunair;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mujika Jokin;null;null;null;null;null;null;null;null;null;Seat - Orbea;Seat - Orbea;Caja Rural - Orbea;Caja Rural - Orbea;Paternina - Marcos Equizabal;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mora Néstor Oswaldo;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta - Mavic;Postobon;Manzana Postobón;null;null;Kelme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ducrot Maarten;null;null;null;null;null;null;null;null;null;Kwantum - Decosol;Kwantum Hallen - Decosol;Superconfex - Kwantum - Yoko;null;Domex - Weinmann - Eddy Merckx;TVM - Toko;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Indurain Miguel;null;null;null;null;null;null;null;null;null;Reynolds;Reynolds;Reynolds - Seur;Reynolds;Reynolds - Banesto;Banesto;Banesto;Banesto;Banesto;Banesto;Banesto;Banesto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Navarro Francisco;null;null;null;null;null;null;null;null;null;Reynolds;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fuerte Anselmo;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;Zor - BH;BH;BH;BH;O.N.C.E. - Look - Mavic;O.N.C.E. - Look - Mavic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rodríguez Jesús;null;null;null;null;null;null;null;null;null;Zor - Gemeaz;Zor - BH;Teka;Reynolds;Reynolds - Banesto;Banesto;Banesto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Del Ramo José;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Stieda Alex;null;null;null;null;null;null;null;null;null;null;7-Eleven;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guyot Eric;null;null;null;null;null;null;null;null;null;null;Kas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Arras Wim;null;null;null;null;null;null;null;null;null;null;PDM - Concorde;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hermans Mathieu;null;null;null;null;null;null;null;null;null;null;Seat - Orbea;Caja Rural - Orbea;Caja Rural - Orbea;Paternina - Marcos Equizabal;Seur;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Petito Giuseppe;null;null;null;null;null;null;null;null;null;null;Gis Gelati;null;null;null;null;null;null;null;Mercatone Uno - Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Esparza Antonio;null;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
